keywords,story
"story, book, planet, also, change","The Stories in This Book The stories in the book were written for me. This book has stories about me and my feelings. It has stories about growing, and a place called Fort Able. There is also a story titled Maybe I Could Do That This book has stories about people and places. This book has stories about my family, home,and school. It has stories about adults and children. This book has stories about mistakes. Everyone makes those. It also has stories about changes. Changes happen all the time. This book has stories about what people think, and what they say and do. It has stories about sharing, playing games, and how to win and lose. This book has a story about Thomas Edison, and three stories about chewing gum. This book has stories about Planet Earth. That is my home planet. It also has stories about wildfires and air travel. There are even stories about the evening news, and why people watch it. There are other things, too, such as what people mean when they use the word thing. Thatsin the glossary. There are many stories in this book. One hundred fiftyeight Stories to be exact. They describe life here on Planet Earth. The New Social StoryTM Book, th Anniversary Edition   by Carol Gray, Future Horizons, Inc."
"firefighter, evacuate, fire, close, house","Why Do We Have to Go? Many children have questions about evacuation. Often they want to know why their family has to evacuate the house. Sometimes children will ask their mom or dad, Why do we have to go? When firefighters tell a family to evacuate, it is very, very, very important for people to leave their house. Firefighters have studied fires for a long time. They are fire experts. Firefighters decide when a fire is too close and people have to evacuate their houses. It is intelli gent to listen and follow their directions. Sometimes, it may seem that a fire is not that close. It may seem like it would be okay to stay. The problem is, when a fire is out of control it spreads quickly. That is why firefighters ask families to evacuate when it is still safe to go, before the fire is very close. Firefighters decide when a fire is too close. They tell people when it is time to evacuate. If a firefighter says, It is time to evacuate, it is time to evacuate. Following the directions of firefighters helps people stay safe."
"article, social, maybe, could, audience","Maybe I Could Do That Someday, I will be an adult. What will I do? It may be fun to think about that. There are people who work to save Planet Earths resources. Maybe I could do that. There are people who sell tick ets at the movie theatre. Maybe I could do that. There are people who write poems and sonnets. Maybe I could do that. There are people who work at the radio station. Maybe I could do that. There are people who teach. Maybe I could do that. There are people who stock the shelves at the grocery store. Maybe I could do that. There are people who find cures for diseases. Maybe I could do that. There are people who design and draw. Maybe I could do that. There are people who work in big cities. Maybe I could do that. There are people who work outdoors. Maybe I could do that. Someday, I will be an adult. What will I do? Just watch as I answer that. n PeSroscoianlal ACrtaicrleesSocial Stories are provided in a highly structured but also flexible writing format. They areright at home, describing how toilets work to a toddler, and are equally capable of describing the ins and outs of making an effective apology to an adult. As Social Stories keep pacewith their growing Audience, the topics, format, font, and vocabulary change as well. Bythe time a child reaches adolescence, the triedandtrue Social Stories yield to their moreadvanced form, Social Articles. My name is Carol Gray, creator of these articles, and it is mypleasure to introduce you to this rarely used yet valuable literary format. Social Articles meet all the same criteria as Social Stories, with several characteristics thatdistinguish them from their Storybased counterparts. Social Articles use a format thatincorporates Times New Roman font, columns, and advanced vocabulary. They are neverwritten in the Audience voice, and rarely contain any firstperson statements. Charts andfigures are frequently used to organize or highlight ideas and may replace more traditionalor elementary illustrations. Dr. Tony Attwood and I wrote the first Figure  Frequent characteristics ofSocial Article, Grays Guide to Com a Social Articlepliments. We surveyed workshopaudiences to gather much of the infor  Address abstract or more advanced conceptsmation, asking questions like, How  Times New Roman fontfrequently do you compliment your  Columnsspouse? That information was sub  Advanced vocabularysequently summarized in a page  Never written in the Audience voice, andworkbook for adults with autism. often do not contain firstperson statements  Charts and figures to enhance or highlightSocial Articles have a range of difficulty informationthat is similar to that of Social Stories. I consider one of the Social Articles inthis chapter, Why People Take Baths orShowers, as the most elementary version of a Social Article. It lies right on the seamlessborder between Social Stories and Articles. The remaining articles in this chapter appear inorder of difficulty, each demonstrating several of the characteristics described previouslyand listed in Figure  above. One final note As I mentioned, Social Articles are never written in the Audience voice and thus, firstperson statements are often not included. However, the Author may serve as the voice of an article. In this case, the author introduces himself or herself and his or her background, with care to identify any personal opinions or bias as information is shared. This makes it possible to provide general insights and conclusions about social concepts and skills or to express opinions or share advice through an opportunity that would not be available otherwise. This is demonstrated in Apologizing for an Unintentional Mistake, which closes this chapter and volume. I hope you enjoy it. I wish you all the best as you develop Social Articles and, of course, Social Stories."
"gift, open, thank, say, get","How to Open a Gift Sometimes people give me gifts. I am learning what to think, say, and do when I get a gift. It takes time and sometimes money to find and wrap a gift. For this reason, it is thoughtful to say thank you right when I get a gift even before I open it. This means, Thank you for thinking of me, and for getting this gift ready to give to me. It may be okay to open a gift right away. Or, it may be important to wait until later to open a gift. After I open a gift, it is important to say thank you. I am learning what to think, say, and do when I get a gift. When I get a gift, I will try to practice n  ."
"frog, tadpole, egg, transformer, water","The Transformers around Us FROGSLife is full of real transformers. They change theirformand how they lookfollowing a biologicalplan. A frog is a real transformer. Its life cycle is a biologicalplan with three stages. First, there is an egg that is laidin the water and covered with special jelly. It is not anegg for long. Second, the egg hatches. It is a tadpole Sometimes,tadpoles are called polliwogs. Tadpoles eat and growin the water. The top of the pond often looks stilland silent. Under the water, a lot is happening. Thetadpoles grow back legs, then front legs, and theirtails shrink. The third stage is a frog. People often think of frogsas green. A frog may be other colors, too. Some frogschange colors. Frogs lay eggs that grow into tadpoles,to become frogs. Some of the changes around us are transformationsthat follow a plan, over and over again. They are quiettransformations that are an important part of Life onPlanet Earth. nThe New Social StoryTM Book, th Anniversary Edition by Carol Gray, Future Horizons, Inc."
"smile, mean, teeth, show, grin","Smile Why?Most people like smiles. When people smile, the corners of their mouth go up and theirteeth show. If their teeth do not show, that kind of smile is called a grin. Most of the time,when someone smiles, it means something nice. A smile may mean, I am happy to see you. A smile may mean, I am having fun. A smile may mean, I am happy. A smile may mean, I would like to talk with you or I would like to play with you. A small, gentle smile maymean, I wish you felt happier. A smile may have othermeanings, too. Most of the time, whensomeone smiles, it meanssomething nice."
"respect, thoughtful, careful, action, welcome","Learning aboutRespect at SchoolRespect is being careful and thoughtful withother people. People show respect with kindwords and actions. Respect helps everyonefeel welcome, comfortable, and safe. Teachers and students try to show respect atschool. Here are some examples Respect is using kind words and actions. Respect is carefully helping another student. Respect is sharing. Respect is being careful and thoughtful with other people. At school, respect helps everyoneto feel welcome, comfortable, and safe."
"story, true, write, character, main","How to Write a True Story I am learning to use my writing box to write a true story. A true story describes something that really happened. Students often write true stories in journals. To learn to write a true story, I may try following these five steps. STEP  A true story is about real people. They are the characters in a true story. The main character is the most important person in the story. I may be the main character in my true story. Or, I may write a true story about someone that I know. I will try to choose a main character for my story. STEP  A true story often describes an experience. I have a writing box with photographs of real experiences. I may try choosing a photo to write about. STEP  People who read my story want to know who is in the photo, and where the photo was taken. This makes a good beginning to my story. I will try to write a beginning to my story. STEP People who read my story want to know about what the people or animals in the photo aredoing. This makes a good middle to my story. I will try to write a middle to my story. STEP People who read my story want to know about how my story ends. They want to know whathappened last. My story needs an ending. I will try to write an ending to my story. A true story is a story about something that really happened. Following these five steps maymake it easier to write my story. I will try to write a story with a main character, and a beginning, middle, and ending."
"shoe, tie, help, sister, tying","It is Easiest to Help People Who Want Help People often need help. They need help when a task is difficult to do alone. They may need help when doing something for the first time. Or, they may need help when they are in a hurry. If I notice a person who needs help, I may offer to help. My sister just learned to tie her shoes. She is practicing, but it still takes her a while to make the bow. I have been tying shoes for many years. I can tie shoes quite fast. Once in a while I might offer to help my sister tie her shoes. I may start by saying, Do you want help tying your shoes? It is important to listen carefully for her answer. This is because it is easiest to help people who want help. When people want help, they cooperate with it. If my sister wants help with her shoes, she will cooperate with me. She might hold her foot so that I can tie her shoe easily. Or, she may smile because that help is here. Cooperation is a clue that my sister is happy to have my help. Most of the time, it is easiest to help the people who want my help."
"security, officer, crew, passenger, airport","What Does Going through Security Mean? Keeping passengers and crew safe on an airplane is very important. Going through security helps to find passengers or items that could be a problem on a flight. That is why all passen gers and crew have to go through security before they get on an airplane. There are airport officers that help everyone go through security. These airport officers are friendly with people who cooperate and suddenly serious with people who do not. That is because they are help ing people and looking for problem people and items, all at the same time. Catching problems early is better than discovering them after the crew and passengers get on the plane. Going through security is one way to discover problems. Airport officers have a very important job. Cooperative passengers help everyone go through security, so that they can get on their plane."
"bully, student, chapter, kind, team","Introduction to BullyingWHAT TO THINK, SAY, AND DOThis is a very important chapter. Together, theStories in this chapter describe how to respondto a child who bullies. They describe what tothink, say, and do if someone tries to bully me. It is important to begin with some information. Most students are kind. They want all studentsto feel safe and comfortable at school. Almost allof the time, kind students use friendly words. Almost all of the time, kind students try to follow the rules and help others. Sometimes, thesestudents make social mistakes with one another. They may forget to share. Sometimes, kind students do not follow the rules. Soon, they wantto make things right again. Adults help them learn from their social mistakes. There are other students, not nearly as many in number, who attempt to bully others. Theytry to hurt another persons body, possessions, feelings, or friendships. These students aremaking a serious social mistake. They are out of control. This chapter will help me to form a Team. My Team and I will learn about students who tryto bully others. My Team will help me practice what to think, say, and do if someone tries tobully me. Together, we will learn and practice, working together to make each day at schoolsafe and comfortable for me."
"passenger, plane, airplane, ticket, toddler","Who Are the Passengerson an Airplane?Many airplanes carry passengers. A passenger is a person with a ticket to ride onthe plane. A passenger may be a child,like me. Or, a passenger may be an olderadult, like my grandparents. Sometimes,a baby or toddler is a passenger. Passengers do not need to know howto fly a plane, or how to keep everyone safe. It is important, though, forpassengers to listen to directions fromthe pilots and flight attendants. It is soimportant that there are laws about following directions on an airplane. This helps the pilotand flight attendants keep everyone safe. I may be a passenger on a plane, too. If I am, I may see babies, toddlers, children, and adultswho are passengers with me. We will all have a ticket to ride the plane n ."
"game, end, win, someone, everyone","After a Game Ends Many people enjoy playing games. Most of the time, a game ends when someone wins. I won also means that the game is over. Games are fun, but it is good that they end, too. That way, people can go and do other things. Once in a while, it is very good that someone wins. Everyone is getting a little bored. They are very happy when the game ends. Finally, they can go and do something else. Sometimes, everyone is so happy when someone wins and the game ends, it is like everyone won Other times, though, a game is really fun. Suddenly there is a winner. The game is over. This is okay. Someone may say, Let us play again Most of the time, when someone wins the game ends. People are free to go and do other things, or to play the game again. n  BullyingWhat to Think, Say, and Do."
"need, lunch, hurry, help, door","Helping People WhoHavent Asked for HelpMany people need help. They may not ask for help, but they sure could use it. It is very nicewhen others see that help is needed. People often need help when it is difficult to complete a task alone. It is difficult for a mom with a stroller to open a door. Holding the door open is helpful. People often need help when they are doing something for the first time. There is a new boy in my class, and it is time for lunch. He is never been to lunch at my school before. He may need a little help to learn about how we get lunch at our school. People often need help when they are in a hurry. When people are in a hurry, they try to dothings faster. Offering to do one of those things makes their job easier. If I look for people who need help, I may find them just about anywhere, doing just aboutanything. That is because people often need help."
"box, writing, item, student, topic","How to Make a Writing BoxLearning to write takes time and practice. Students have many wonderful ideas. A writingbox keeps those ideas ready for writingA writing box begins as a shoebox, one shoebox for each student. Students may decoratetheir box, or leave it plain. Each students favorite items, like photos, toys, or other small objects, are placed in the box. These items transform a shoebox into a students own Writing Box. The box is kept at school. For many writing assignments, the items in the box may help students find a topic. Lookingthrough the box, the student selects an item, an idea for a writing topic. Sometimes, it helps to keep a selecteditem out while writing. A student maywrite what they remember about anitem, or find interesting details in aphoto. In this way, a writing box helpsstudents develop their ideas. Many students use writing boxes atschool. It helps them to discover topics and develop their ideas. I may tryto make a writing box for school, andmaybe for home, too n ."
"line, first, classmate, form, student","Will I be First in Line? Sometimes my class forms a line. Once in a while, I will be first. Most of the time I will be in another place in the line. When my teacher says, Please line up at the door, we form a line. One student is first, one child is second, another is third, and so on. Each student has a place in line. We use our line to walk safely to another place. I like to be first in line. Once in a while and what may seem like almost never, I will be the first student in the line. When this happens, the teacher is right in front of me. Most students want to be first in line, just like me. To be fair, we take turns. That is why most of the time another student is first in line. When this happens one of my classmates will be in front of me. This is okay. Sometimes my class forms a line. Once in a while, I will be first. Most of the time one of my classmates will be first. This is fair and okay."
"pull, ups, catch, wear, hold",I Wear PullUps My name is Jonathan. I wear pullups to catch and hold my pee and poop. A pullup catches and holds the pee and poop that I do not need anymore. When it is dirty we throw it away. I wear pullups to catch and hold my pee and poop.
"uncomfortable, bad, unsafe, feel, around","What Is Uncomfortable? Uncomfortable is a bad, sometimesunsafe feeling. Uncomfortable may mean that somewhere on my body hurts, scratches, itches, or stings. Bee stings, poison ivy, cuts, or scrapes can make skin feel uncomfortable. Uncomfortable may mean that somewhere in my body it hurts or aches. A headache, stomachache, flu, a cold, sprained ankle, broken bone, or food that tastes bad can be uncomfortable. Uncomfortable may mean that I feel worried, afraid, angry, sad, or bad. Feeling confused is uncomfortable, too. Uncomfortable may mean that a place or thing is not comfortable to be near or around. Some people feel uncomfortable in a very small place. Other people feel uncomfortable on roller coasters. For many people, very loud, busy, or crowded places may be uncomfortable. Uncomfortable may mean that it feels unsafe to be around another person. It often feels uncomfortable to be around a person who is angry or out of control. Sometimes, it may feel uncomfortable to be around a person who is doing something that most people do not do in that place, or in that way. Uncomfortable is a bad and sometimesunsafe feeling."
"ladybug, larva, egg, stage, pupa","The Transformers around Us LADYBUGS Life is full of real transformers. They change their formand how they lookfollowing a biological plan. A ladybug is a real transformer. Its life cycle is a biological plan with four stages. First, there is an egg. Ladybugs lay their eggs on the underside of leaves near ladybug food. They are not eggs for long. Second, the egg hatches. Larvae come out. Larvae look like insects, with six legs and tiny hairs on the side. They eat and grow for about twentyone days. Then they begin to change. The third stage is a pupa. This is the transformation stage. On the outside, a pupa looks still. It is silent. On the inside, a lot is happening. The larva is changing into a ladybug. The fourth stage is the adult ladybug. They are red with black dots. They lay eggs, near food, that grow into larvae, and then pupa, to become ladybugs. Some of the changes around us are transformations that follow a plan, over and over again. They are quiet transformations that are an important part of Life on Planet Earth."
"gift, opening, open, visiting, bring","Why Wait to Open My Gift?A gift has a nice surprise inside. Waiting toopen a gift may be a little frustrating, especiallyfor children. How can adults be so calm? Whywould they ask children to open a gift later,instead of right now?It helps to know what adults are thinking. Adults have as much fun waiting to open giftsas they do opening them. They like the festivefeeling of sitting and talking among prettygifts. Adults may think it is polite to wait a while beforeopening a gift. That is why, at many parties, people eat, talk, or play games before opening gifts. Visiting with the people who bring gifts issometimes more important than opening thegifts that they bring. So, visiting is first. Usually, adults decide when to open gifts. It may be now, but often it is later. Sometimes,knowing what adults are thinking makes it easier to open gifts later."
"bath, shower, history, smell, dirty","Why People Take Baths or ShowersPeople take baths and little itchy. Sometimes dirty be around a dirty person forshowers. They have been people smell bad. A bath or long. They may also not wanttaking baths since , B. C. a shower makes their skin to be friends with someoneDuring the Roman Empire, feel comfortable again, and who is often dirty or smellspeople began bathing as a makes them smell better, too. bad. So people sometimesdaily ritual. Understanding take a bath or shower so thatwhy people take baths and People also take baths others will feel comfortable. showers may make it eas because of other people. ier for me to take my bath They are concerned about People have been takingshower. what other people may think. baths throughout history. I Since so many people think am a part of history. By tak History is full of stories being clean is comfortable, ing a bath or a shower, I mayabout bathtubs and bathing. just being around someone be more comfortableandThe ancient Greek inventor, who is dirty or smelly can others will be more comfortArchimedes, noticed that make them uncomfortable. ableas I make my mark onwhen he got into his tub, the Many people do not want to history. nlevel of the water would rise. He began using tubs to measure how big items were bynoticing the amount of waterthey displaced in his tub. This may be an interestingstory, but it is also a uniquereason to use a bathtub. Throughout history, peoplehave taken baths or showersto get clean. But why do theydo this? People take baths toget clean or to feel or smellbetter. Being clean, washing away dirt and germs, isa healthy habit. For manypeople, being dirty is a littleuncomfortable and even a ."
"survey, mistake, wrong, question, teacher","The Mistakes SurveyA survey is one way to get information about something. In many surveys, people areasked the same question or questions. Then, their answers are studied. I have a surveyabout mistakes. Has anyone ever had a day without any mistakes? A survey is one way to learn what peoplethink about this question. My survey is titled The Mistakes Survey. I may use the survey to learn more about mistakes. My teacher knows how to use a survey. He may be able to help me. The Mistakes Survey is for adults. To use the survey safely, it is important to give the surveyto safe adults that I know, people who are not strangers. My teacher can help me to make alist of people to take this survey. To take the survey, each adult will read this it is at the top of the surveyA mistake is an error. There are big mistakes, and little ones, too. Some examples of mistakes are Doing something wrong, like making a wrong turn while driving or putting something together wrong Forgetting something, like being unable to remember someone is name or todays date Losing something, like important notes, keys, a shoe, etc. Dropping an item  Making a calculation or writing error, including typos There are many, many mistakes that people make. Then they answer this question  Do you think that you have ever had a day without a mistake? I will try to have five safe adults from the list I make with my teacher take The Mistakes Survey. After that, my teacher and I can talk about the answers on the survey. Together, my teacher and I may learn more about people and the mistakes that they make n  ."
"comfortable, feel, comfort, three, good","What Is Comfortable for Me?Comfortable is a nice, safe feeling. What is comfortable for me?Comfortable may mean that my skin feels good. I have clothes that are comfortable. Pajamasare often comfortable. Three types of clothing that are comfortable for me are_________________________________________________________________________________________________________________________________________________________________________________________________________________________________Comfortable may mean that I feel good inside. There are comfort foods. Comfort foods tastegood and make people feel happy. Three of my comfort foods are_________________________________________________________________________________________________________________________________________________________________________________________________________________________________ Comfortable may mean that my feelings feel good. There are things that I like to do. I often feel happy when doing those things. Three things that I like to do are ___________________________________________________________________________ ___________________________________________________________________________ ___________________________________________________________________________ Comfortable may mean that a place or thing feels good and safe. There are things and places that feel nice and safe, like a chair or a comfortable room. Three places or things that are comfortable for me are ___________________________________________________________________________ ___________________________________________________________________________ ___________________________________________________________________________ Comfortable may mean that it feels nice and safe to be around another person. Three people that are comfortable for me are ___________________________________________________________________________ ___________________________________________________________________________ ___________________________________________________________________________ Sometimes, everything in me and around me feels good. When that happens, I am com pletely comfortable. Comfortable is a nice, safe feeling."
"slide, raincoat, wear, story, tie","Learning with Stories People learn from stories. People often tell one another their experiences. As they listen, they learn. Once, my mom was teaching me to tie my shoes. She told me a story about how her grandfather taught her to tie her shoes. I tried it, practiced it, and learned how to tie my shoes. Another time, I was afraid to go down the slide on the school playground. I wanted to try it. I stood and watched other children climb the stairs of the slide, sit on the top, and slide down. I wondered if I could do that. My kindergarten teacher, Mr. Burns, came up and stood next to me. He told me a story. When he was a boy, he was afraid of going down the slide, too. Did you try it? I asked. He said he did. Mr. Burns said it really helped to look up as he climbed the stairs. I thought that might work for me. I went down the slide, and it was okay  Last Tuesday it was raining. I did not want to wear my raincoat. My sister, Madison, said it might be better to just wear it. Then she told me a story. One day last year, it was raining. She did not wear her raincoat to school. She got wet. Madison was cold, damp, and uncomfortable for the first hour of class. I decided to wear my raincoat to be dry and comfortable. I am learning each day. People keep telling me their stories. I will try to keep listening, and learning."
"apology, mistake, apologizing, regret, sorry","Apologizing for anUnintentional Mistake Please note In this article, along with my observations It is important to keep in mind the pronoun he is used in of others over the last several that there are almost always reference to an individual, decades, provides an exten exceptions when people are whether male or female, in sive apologetic background. involved. Regardless, I will place of the more awkward This article presents my try to the best of my abilityhe andor she. theories and thoughts about to describe accurately what I apologies and the seven have found to be true about My name is Carol Gray. I am characteristics of those that effective apologies most of not an expert on apologies, are most likely to be the the time. although admittedly I do at most effective. times make mistakes that According to dictionary. require them. This gives me My general thoughts and reference. com, the most com a wealth of experience that, theories may not be true in mon meaning of apology is every culture or situation. a written or spoken expres sion of ones regret, remorse, or sorrow for having insulted, failed, injured, or wronged another. I also found three others, but in this article, I am focusing on the meaning that I have quoted here. People make mistakes with one another. It is inev itable. No human inhabitant of Planet Earth has a mistake score of zero. Some errors are intentional, and others are unintentional. When I was three years old, I placed my sisters doll suitcase in the toilet. My intent was to put it in the toilet, and I did. It was . There was no negative small gift or flowers, or apol a bad idea that became an intent, so realizing that ogies written on the inside of intentional mistake, and it someone was hurt is an a greeting card. Sometimes a made a perfectly good doll unpleasant surprise or a person may make something suitcase very soggy. My sis shock like a cake, cookies, picture, ter was upset. or something else to include . It may be difficult to as part of an apology. I estimate that I have take responsibility for made many more uninten a mistake when it was Once a person decides tional mistakes. These are accidental or to apologize, there are seven the mistakes where I meant things that he or she can do no harm, I was not thinking . The person hurt or incon Figure  to increase the about hurting anyone, but venienced by the mistake odds that it will improve the I did harm. For example, I often feels sad or angry, feelings of everyone involved. have said things without and thus is likely to be not . The best apologies are thinking it through and ended as much fun to approach up causing someone to feel or chat with as when he is sincere. The person who unhappy or angry. I have also calm and happy. is apologizing regrets accidently damaged some that his words or actions thing that does not belong to This is not a complete list. have hurt or inconve me. I have also inconvenienced There are other reasons why nienced the other person. people without knowing it apologizing for an unin until it was too late and the tentional mistake may be Figure  Seven char damage was already done. uncomfortable. acteristics of an apology In the remainder of this dis most likely to be effective cussion I am going to focus Apologizing is not following an uninten on those unintentional errors always uncomfortable. A that negatively impact others lot depends on the people tional mistake. and the apologies most likely involved and the severity to be effective. of the mistake. One thing is The best apologies for sureeveryone makes . Are sincere. Many people feel anx unintentional mistakes, and . Use good timing. ious or uneasy when they an apology is often a help . Begin with a name. realize they have made a mis ful antidote. Describe the mistake. take and need to apologize. Express regret. Understanding where the Before going any fur . Acknowledge the other discomfort is coming from ther, it is important to note may help. Apologizing may that apologies can take many persons feelings. be uncomfortable because forms. There are verbal . Are responsible. apologies, emailed apolo gies, apologies attached to a  . The best apologies use apology right from the . The best apologies good timing. First, apol  start. Waiting for an describe the mistake. In ogizing sooner is much acknowledgment, for my experience, there better than apologizing eyes to look up from have been times when later, and apologizing a current activity or I start to apologize, and later is better than apol another indication of then realize the other ogizing a lot later. The attention is a good idea. person does not quite less time that passes In addition to someone is know what I am talking between a mistake and name, many people find about. Life gets busy, its apology, the better. that saying something many things happen, Second, People learn to like, I need to talk to and it may take a per deliver an apology when you. Is this a good time? son a while to focus on the other person has is a great way to deter a specific event in the time to talk and listen. mine if the timing is right past, even if it is the It is risky to apologize described in  before immediate past. For this to a person who is cur continuing by listening reason, the best apolo rently busy, distracted, for the answer. gies include a description or stressed by another of the mistake, even if situation. For example, the other person was a boy who tries to apol there at the time. Includ ogize to his mom while ing a description of the she is rushing to prepare mistake is absolutely a dinner party for eight critical if the other per eminent guests is using son is not aware that a poor timing. Unless, that mistake has been made. is, the boy is sorry that For example, Remem his frog just jumped into ber when you loaned me the filled punch bowl. In your jacket yesterday? I this case, it is not good wore it to the game, and news, not a good time, as I took it off it fell into but Mom needs to know the mud and water. he is sorry now. The best apologies. The best apologies begin express regret and mean with a name. For many it. I have a theory about people, hearing their the phrase, I am sorry. name recruits their atten It is difficult for many tion. It personalizes an people to say this phrase, because doing so feels Mom and may turn ties. In terms of the jacket, like an admission of efforts toward a solution including an offer to clean guilt. When a mistake is sooner. Or, in the case it is an important part of the unintentional, admitting of the muddy jacket, a apology. Adding evidence guilt often does not quite statement like I know of thoughts regarding next seem to fit the situa this is your favorite time, as in, I wish I had tion. I am sorry does not jacket, may dissolve been more careful and put always mean a person is understandable disap the jacket in my backpack guilty. The details sur pointment or anger. begins to rebuild trust. rounding the mistake do . The best apologies are that. It often simply is responsible. They include I have listed these char an expression of regret an offer to help solve the acteristics as a guide and a that means I am sorry problem, a promise to do summary of my own expe this happened. things differently in the riences and observations of . The best apologies future, or both. others. They are definitely include an acknowl not intended as a series of edgment of the other Continuing with our exam defined steps. persons feelings. For ples, the boy may return the the boy with the frog frog to his cage, offer to help An apology may be in moms punch bowl, clean the bowl and make a effective without meeting all saying Mom, I know new batch of punch, as well seven characteristics. That is you want things right as promise to keep the frog definitely why I mentioned for the party, supports away from future dinner par earlier that, whenever peo ple are involved, there is an exception to every rule n  ."
"said, thank, nice, birthday, say","Thanking People for the Nice Things That They Say Sometimes people say something helpful or kind. Saying thank you after someone says something nice means, What you said to me is helpful or What you said to me is kind. There are many times when saying thank you is a smart and friendly thing to do. Sometimes people help me. Yes terday, I had a question about our math assignment. Sydney sits next to me in class. She remembered the assignment. She said, We have to do all the problems on page . I said, Thanks. That is a shorter way to say thank you. Sometimes people say kind things to me. Last week on my birthday I wore a new shirt to school. My teacher said, Happy Birthday Nice shirt, too It is easy for people to remember their own birthday, harder to remember someone elses birthday. I said, Thanks, to my teacher. Thank you is a friendly phrase that means, It was nice of you to say that I will try say thank you when people say nice things to me. That way, they will know that I heard the nice things that they said to me."
"fire, wildfire, control, serious, helpful","A Wildfire Is near Our HomeThere is a wildfire getting closer to ourhome. This makes this story very important. Fire is the flame, heat, and light that iscaused by burning. Fire can be helpful. Firecan also be a very serious problem. Fire isalways dangerous. Knowing about fire helpspeople stay safe. Fire can be helpful. People often use fire forheat and energy to keep their homes warmand comfortable, or to cook food. Whencamping, adults may build a campfire, or usefire to light a lantern. There are many waysthat fire is helpful. Adults know about the dangers of fire, and how to use fire safely. They know and follow allof the rules for using fire intelligently. They know, too, that it is very, very, very important tobe careful with fire. That way fire stays safe, helpful, and under control. Sometimes fire becomes a very big and serious problem. The fire spreads and gets larger. Thepeople try to keep it under their control but the fire spreads too quickly. The fire becomestoo big for them to put out. When this happens, people call the fire department. When a fire is outside and spreading very quickly it is called a wildfire. Wildfires are a very, very, very, big and serious problem. They get bigger very fast. A wildfire is very, very, very, very difficult for people to control. Many times firefighters ask other firefighters to help get a wildfire back under control. There is a wildfire about ___ miles away. It is difficult for the firemen to get it under control. To keep my family safe and healthy, we may be asked to leave our house. The firemen are watching the fire very closely. They will tell my mom or dad if it is important for us to leave our house."
"respect, action, kind, word, show","What Is Respect? I am learning about respect. Respect is being careful and thoughtful with other people. People show respect with kind words and actions. Respect helps everyone feel welcome, comfortable, and safe. At home, parents and children show respect when they use kind words and actions. Respect helps a family to feel comfortable and safe. At school, teachers and students show respect when they use kind words and actions. Respect helps everyone in a classroom feel com fortable and safe. I will try to be careful and thought ful with other people. I will try to use kind words and actions. I will try to use respect to help everyone feel welcome, comfortable, and safe."
"gum, wrap, throw, done, chewing","What to Do WhenIm Done with My Gum When chewing gum is done, the best plan is to wrap it in a small piece of paper before throwing it away. Sometimes, people save the gum wrap per in a pocket while they are chewing the gum. Then, when the gum is done, they use it to wrap the gum before throw ing it away. This is a good plan. If a person does not have a small piece ofpaper, its okay to throw gum into a waste basket without it. When I am done with my gum, I will try to wrap it and throw it away in a waste basket."
"respect, west, ra, restate, student","Restating with Respect at School I am learning about respect. Respect helps everyone feel welcome, comfortable, and safe. Learning to talk with respect to a teacher is a skill. Students need to think about, and prac tice, talking with respect. Sometimes, a student may make mistakes with respect. A student may use a disrespectful tone of voice or words with a teacher. Talking disrespectfully to a teacher is a mistake. Teachers want students to do well, and to use respect with others. Whenever a student talks to my teacher, Mr. Westra, with a disrespectful tone of voice or words, Mr. Westra says, Restate with respect, please. Restate with respect, gives students an important second chance. This gives students a chance to think and say it again with a calm voice and cooperative words. This gives stu dents a chance say the same thing, but with respect. If Mr. Westra says to me, Restate with respect, please, that means that I have made a mistake with respect. I will try to think and say it again using a calm voice and cooperative words. I will try to say it again with respect. Many students make mistakes with respect. With practice, they learn the skill of talking to teach ers with respect."
"teacher, telling, solve, problem, pro","Telling My Teacher about a Problem Teachers and students talk about many things. They often talk about good news. They can also solve problems together. Sometimes, a student may have a prob lem, or feel frustrated or angry. Telling the teacher can help. That way, the teacher will know there is a problem. Teachers want to help. They have a lot of ideas. Teachers can help to solve problems. If I have a problem at school, telling the teacher may help. If I feel frustrated or angry, telling the teacher may help, too. My teacher has a lot of ideas. She can help to solve problems. Teachers can help students solve prob lems and feel more comfortable again."
"calm, staying, student, strategy, difficult","Staying Calm withDifficult Schoolwork Students learn new ideas and skills at school. Sometimes learning is easy. Other times learning is more difficult, especially at first. This is okay. When an assignment is difficult, staying calm is important. Staying calm helps stu dents think better and stay smart. Most students use a plan or actiona strategyto stay calm. Some students take a big, deep, slow breath. This helps them to keep their feelings in control. Some students think about something nice to stay calm. Other students selftalk. They may think things like, I am safe and okay or My teacher can help. There are students may take a short break and return to work. Teachers know that feeling calm and comfortable at school is important. They can help melearn my own strategy to stay calm and in control. That way, I will be able to do my bestwork."
"respect, cooperative, talk, voice, calm","When I Talk with Respect at SchoolI am learning to talk with respect. Talking with respect is using a calm, controlled voice withcooperative words. When working and playing with adults, classmates, and friends, talkingwith respect is very important. That way, everyone feels comfortable. Adults in charge of me at school notice when I talk with respect. For example, at the bookfair, there was a book that I really wanted. I did not have enough money. An adult told meto put the book back on the shelf. I was very disappointed, but I used cooperative words,saying, Okay, with a calm voice. Here are other respectful things that I have said at school_________________________________________________________________________________________________________________________________________________________________________________________________________________________________People notice when I talk with respect They feel calm and comfortable when I use cooperative words and a calm voice."
